zone,storeId,longitude,latitude,address
黄浦区,sh_test_DC_002,121.488156,31.228131,上海市黄浦区福佑路427号福佑门商厦F3
黄浦区,hp_01,121.484573,31.221936,上海市黄浦区方浜中路756号
黄浦区,hp_02,121.483767,31.220606,上海市黄浦区方斜路6号
黄浦区,hp_06,121.477418,31.236809,上海市黄浦区浙江中路445号
黄浦区,hp_07,121.480132,31.227124,上海市黄浦区金陵东路500号
黄浦区,hp_21,121.482779,31.226478,上海市黄浦区淮海东路45号
黄浦区,hp_22,121.478498,31.233704,上海市黄浦区汉口路635号
黄浦区,hp_10,121.464524,31.222818,上海市黄浦区巨鹿路199号
黄浦区,hp_08,121.475506,31.230037,上海市黄浦区人民大道9-99号
黄浦区,hp_09,121.479767,31.228973,上海市黄浦区云南南路3号
黄浦区,hp_10,121.464524,31.222818,上海市黄浦区巨鹿路199号
黄浦区,hp_11,121.480064,31.232021,上海市黄浦区浙江中路120号
黄浦区,hp_21,121.482779,31.226478,上海市黄浦区淮海东路45号
黄浦区,hp_22,121.478498,31.233704,上海市黄浦区汉口路635号
黄浦区,hp_14,121.471044,31.231828,上海市黄浦区南京西路169号
黄浦区,hp_15,121.491705,31.229098,上海市黄浦区人民路399号
黄浦区,hp_16,121.479805,31.232116,上海市黄浦区浙江中路125号
黄浦区,hp_17,121.495245,31.224944,上海市黄浦区四牌楼路30号
黄浦区,hp_18,121.482498,31.22624,上海市黄浦区上海市黄浦区淮海东路45-49号东淮海国际大厦
黄浦区,hp_19,121.480644,31.228232,上海市黄浦区宁海东路257号
黄浦区,hp_20,121.481933,31.228324,上海市黄浦区永寿路23号
黄浦区,hp_21,121.482779,31.226478,上海市黄浦区淮海东路45号
黄浦区,hp_22,121.478498,31.233704,上海市黄浦区汉口路635号
黄浦区,hp_23,121.491522,31.230182,上海市黄浦区新永安路40号
黄浦区,hp_24,121.476779,31.236538,上海市黄浦区广西北路444
黄浦区,hp_25,121.467719,31.205433,上海市黄浦区徐家汇路618号
徐汇区,xh_01,121.433578,31.142467,上海市徐汇区嘉陵路508号
徐汇区,xh_02,121.435585,31.152387,上海市徐汇区龙川北路880号
徐汇区,xh_03,121.436389,31.142708,上海市徐汇区百色路1054号
徐汇区,xh_04,121.418671,31.13782,上海市徐汇区凌云路413号
徐汇区,xh_05,121.436589,31.142653,上海市徐汇区百色路1048号
徐汇区,xh_25,121.420265,31.180872,上海市徐汇区钦州北路226号
徐汇区,xh_26,121.416694,31.173736,上海市徐汇区桂林路451号
徐汇区,xh_27,121.41263,31.17019,上海市徐汇区田林路140号15号楼爱食馆美食广场
徐汇区,xh_09,121.449848,31.168365,上海市徐汇区龙华西路21弄88号
徐汇区,xh_10,121.44325,31.156874,上海市徐汇区石龙路123号
徐汇区,xh_11,121.447978,31.173303,上海市徐汇区龙华西路223号
徐汇区,xh_12,121.444558,31.168185,上海市徐汇区凯旋南路59号
徐汇区,xh_13,121.450362,31.145568,上海市徐汇区龙吴路1129号
徐汇区,xh_14,121.442273,31.170243,上海市徐汇区龙漕路223号
徐汇区,xh_15,121.451685,31.157301,上海市徐汇区黄石路27号
徐汇区,xh_08,121.451446,31.156778,上海市徐汇区黄石路32号
徐汇区,xh_09,121.449848,31.168365,上海市徐汇区龙华西路21弄88号
徐汇区,xh_10,121.44325,31.156874,上海市徐汇区石龙路123号
徐汇区,xh_19,121.434272,31.169165,上海市徐汇区上海市徐汇区漕溪路280号
徐汇区,xh_11,121.447978,31.173303,上海市徐汇区龙华西路223号
徐汇区,xh_12,121.444558,31.168185,上海市徐汇区凯旋南路59号
徐汇区,xh_22,121.42808,31.156899,上海市徐汇区沪闵路9024号
徐汇区,xh_23,121.445318,31.16928,上海市徐汇区龙吴路108号
徐汇区,xh_24,121.416553,31.154894,上海市徐汇区桂林西街31号
徐汇区,xh_25,121.420265,31.180872,上海市徐汇区钦州北路226号
徐汇区,xh_26,121.416694,31.173736,上海市徐汇区桂林路451号
徐汇区,xh_27,121.41263,31.17019,上海市徐汇区田林路140号15号楼爱食馆美食广场
长宁区,cn_01,121.411546,31.217529,上海市长宁区仙霞西路88号
长宁区,cn_02,121.403758,31.206578,上海市长宁区遵义路100号
长宁区,cn_02,121.403758,31.206578,上海市长宁区遵义路100号
长宁区,cn_04,121.354495,31.219568,上海市长宁区虹桥路1889弄1-98号
长宁区,cn_05,121.402814,31.21942,上海市长宁区淞虹路207号
长宁区,cn_06,121.418393,31.214671,上海市长宁区长宁路855号
长宁区,cn_07,121.401889,31.205648,上海市长宁区中山西路189弄1-6号、179号
长宁区,cn_08,121.417253,31.217254,上海市长宁区长宁路1018号
长宁区,cn_09,121.36734,31.207953,上海市长宁区万航渡路2452号苏河湾
长宁区,cn_10,121.408537,31.21847,上海市长宁区中山公园定西路1279号
长宁区,cn_06,121.418393,31.214671,上海市长宁区长宁路855号
长宁区,cn_07,121.401889,31.205648,上海市长宁区中山西路189弄1-6号、179号
静安区,ja_01,121.458181,31.229924,上海市静安区南京西路1266号
静安区,ja_02,121.44952,31.240314,上海市静安区威海路333弄1-38号
静安区,ja_03,121.452499,31.243416,上海市静安区恒丰路1号
静安区,ja_04,121.460661,31.231726,上海市静安区北京西路1000号
静安区,ja_05,121.462454,31.225179,上海市静安区南京西路818号
静安区,ja_06,121.430026,31.249869,上海市静安区新闸路1508号
静安区,ja_07,121.433804,31.232343,上海市静安区北京西路605弄57号
静安区,ja_08,121.448406,31.226113,上海市静安区恒丰路399号
静安区,ja_09,121.445342,31.229805,上海市静安区西苏州路85弄1-22号
静安区,ja_10,121.455738,31.238151,上海市静安区昌平路984弄60号
普陀区,pt_01,121.409925,31.251776,上海市普陀区桃浦路368号
普陀区,pt_02,121.374735,31.265974,上海市普陀区普陀潮州路199弄
普陀区,pt_03,121.381359,31.239737,上海市普陀区武宁路101号
普陀区,pt_04,121.37799,31.243463,上海市普陀区真北路1263号
普陀区,pt_05,121.38954,31.259612,上海市普陀区祁连山南路2888号
普陀区,pt_04,121.381359,31.239737,上海市普陀区真北路1263号
普陀区,pt_05,121.38954,31.259612,上海市普陀区祁连山南路2888号
普陀区,pt_08,121.379807,31.244374,上海市普陀区真光路1288号
普陀区,pt_09,121.42009,31.236647,上海市普陀区铜川路276弄之1-129号
普陀区,pt_10,121.396726,31.255285,上海市普陀区光新路88号
虹口区,hk_01,121.507753,31.337902,上海市虹口区大连路1615号
虹口区,hk_02,121.483888,31.25753,上海市虹口区东宝兴路151号
虹口区,hk_03,121.48384,31.275195,上海市虹口区东大名路1223号
虹口区,hk_04,121.501711,31.250306,上海市虹口区东大名路713号
虹口区,hk_05,121.483868,31.282831,上海市虹口区东体育会路868号
虹口区,hk_06,121.502137,31.262611,上海市虹口区飞虹路233号
虹口区,hk_07,121.480737,31.301825,上海市虹口区公安街11弄
虹口区,hk_08,121.47656,31.277812,上海市虹口区广灵一路35号广中五村
虹口区,hk_09,121.465176,31.284549,上海市虹口区广粤路219号
虹口区,hk_06,121.502137,31.262611,上海市虹口区飞虹路233号
虹口区,hk_11,121.491942,31.293032,上海市虹口区邯郸路39号
虹口区,hk_06,121.502137,31.262611,上海市虹口区飞虹路233号
虹口区,hk_13,121.486652,31.274159,上海市虹口区欧阳路561号
虹口区,hk_14,121.490389,31.280639,上海市虹口区曲阳路565号
虹口区,hk_15,121.484628,31.251076,上海市虹口区四川北路1318号
虹口区,hk_16,121.485182,31.253045,上海市虹口区四川北路1350号
虹口区,hk_17,121.483096,31.257,上海市虹口区四川北路1636号
虹口区,hk_18,121.483397,31.261203,上海市虹口区四川北路1851号
虹口区,hk_19,121.483716,31.261635,上海市虹口区四川北路1885号
虹口区,hk_20,121.483831,31.26338,上海市虹口区四川北路1975号
虹口区,hk_11,121.491942,31.293032,上海市虹口区邯郸路39号
虹口区,hk_12,121.47915,31.269558,上海市虹口区花园路8号
虹口区,hk_06,121.502137,31.262611,上海市虹口区飞虹路233号
虹口区,hk_24,121.482719,31.243651,上海市虹口区天潼路567号
虹口区,hk_25,121.478575,31.267269,上海市虹口区西江湾路126号
虹口区,hk_26,121.477215,31.271142,上海市虹口区西江湾路388号
虹口区,hk_27,121.498583,31.269699,上海市虹口区新港路245号
虹口区,hk_28,121.481051,31.303144,上海市虹口区新市北路1396号
虹口区,hk_14,121.490389,31.280639,上海市虹口区曲阳路565号
虹口区,hk_15,121.484628,31.251076,上海市虹口区四川北路1318号
虹口区,hk_31,121.485182,31.253045,上海市虹口区四川北路1350号
杨浦区,yp_17,121.551999,31.327532,上海市杨浦区四平路591号
杨浦区,yp_18,121.53742,31.288739,上海市杨浦区水丰路382号
杨浦区,yp_19,121.538254,31.272261,上海市杨浦区双阳路81号
虹口区,hk_35,121.483831,31.26338,上海市虹口区四川北路1975号
杨浦区,yp_01,121.506651,31.29452,上海市杨浦区政肃路55号
杨浦区,yp_02,121.518204,31.309314,上海市杨浦区政府路18号
杨浦区,yp_03,121.518277,31.308944,上海市杨浦区政德东路53号
杨浦区,yp_04,121.536169,31.270742,上海市杨浦区长阳路1691号
杨浦区,yp_05,121.535756,31.270688,上海市杨浦区长阳路1689号
杨浦区,yp_06,121.507679,31.282334,上海市杨浦区彰武路35号
杨浦区,yp_07,121.531829,31.288355,上海市杨浦区永吉路9号
杨浦区,yp_08,121.53215,31.301752,上海市杨浦区营口路860号
杨浦区,yp_09,121.535676,31.285707,上海市杨浦区营口路6号
杨浦区,yp_10,121.537782,31.328503,上海市杨浦区殷行路404号
杨浦区,yp_11,121.520865,31.328739,上海市杨浦区殷行路
杨浦区,yp_08,121.53215,31.301752,上海市杨浦区营口路860号
杨浦区,yp_09,121.535676,31.285707,上海市杨浦区营口路6号
杨浦区,yp_14,121.512777,31.266719,上海市杨浦区通北路897号
杨浦区,yp_15,121.545092,31.297258,上海市杨浦区松花江路2号
杨浦区,yp_16,121.50181,31.275491,上海市杨浦区四平路941号
杨浦区,yp_17,121.551999,31.327532,上海市杨浦区四平路591号
杨浦区,yp_18,121.53742,31.288739,上海市杨浦区水丰路382号
杨浦区,yp_19,121.538254,31.272261,上海市杨浦区双阳路81号
杨浦区,yp_20,121.516211,31.272227,上海市杨浦区双辽路341号
杨浦区,yp_21,121.525642,31.315398,上海市杨浦区世界路3号
杨浦区,yp_22,121.518204,31.309314,上海市杨浦区上海市杨浦区政府路18号
杨浦区,yp_23,121.550736,31.270693,上海市杨浦区上海市杨浦区腾越路439号
杨浦区,yp_24,121.535239,31.276063,上海市杨浦区上海市杨浦区双阳路320号
杨浦区,yp_25,121.510414,31.268524,上海市杨浦区上海市杨浦区辽源西路92号
杨浦区,yp_26,121.507102,31.268466,上海市杨浦区上海市杨浦区辽源西路213号
杨浦区,yp_27,121.520583,31.291725,上海市杨浦区上海市杨浦区黄兴路1800号
杨浦区,yp_28,121.492593,31.311617,上海市杨浦区三门路497号
杨浦区,yp_29,121.492213,31.311374,上海市杨浦区三门路366号
杨浦区,yp_30,121.555943,31.279466,上海市杨浦区平凉路2767弄
杨浦区,yp_31,121.535185,31.26717,上海市杨浦区宁国路446号
杨浦区,yp_32,121.535567,31.311624,上海市杨浦区民星路450号
杨浦区,yp_33,121.524936,31.322538,上海市杨浦区民京路948号
宝山区,bs_01,121.41946,31.356174,上海市宝山区水产西路680弄
宝山区,bs_02,121.44586,31.334928,上海市宝山区通河路460号
宝山区,bs_03,121.346144,31.406548,上海市宝山区罗太路163号
宝山区,bs_04,121.45209,31.33993,上海市宝山区呼玛路448号泗塘菜场内16-14
宝山区,bs_05,121.441047,31.325643,上海市宝山区和康路95号
宝山区,bs_06,121.499156,31.401491,上海市宝山区上海市宝山区宝杨路258号宝杨菜市场内
宝山区,bs_07,121.386003,31.315226,上海市宝山区聚丰园路55号
宝山区,bs_08,121.448409,31.330663,上海市宝山区通河路286号
宝山区,bs_09,121.384708,31.320483,上海市宝山区上海市宝山区锦秋路809弄48号
宝山区,bs_10,121.42412,31.392543,上海市宝山区蕰川路2422号101室（富锦路地铁站1号口）
宝山区,bs_11,121.424508,31.391419,上海市宝山区蕰川路2390号
宝山区,bs_12,121.445609,31.338123,上海市宝山区呼玛路684号
宝山区,bs_13,121.438822,31.340582,上海市宝山区呼兰路1019号
宝山区,bs_14,121.369052,31.360942,上海市宝山区菊盛路882号
宝山区,bs_15,121.42228,31.288796,上海市宝山区汶水路1555号
宝山区,bs_16,121.466819,31.401505,上海市宝山区上海市宝山区宝林路277号
宝山区,bs_24,121.498883,31.401719,上海市宝山区宝杨路250号
宝山区,bs_25,121.423859,31.273566,上海市宝山区华灵路515号
宝山区,bs_19,121.381926,31.351783,上海市宝山区沪太路4889号
宝山区,bs_20,121.476691,31.370516,上海市宝山区铁力路110号
宝山区,bs_21,121.387516,31.321097,上海市宝山区上海市宝山区锦秋路809弄79号
宝山区,bs_22,121.367133,31.365837,上海市宝山区菊盛路1029号
宝山区,bs_23,121.34967,31.31366,上海市宝山区上海市宝山区城银路565号
宝山区,bs_24,121.498883,31.401719,上海市宝山区宝杨路250号
宝山区,bs_25,121.423859,31.273566,上海市宝山区华灵路515号
宝山区,bs_26,121.439823,31.340889,上海市宝山区呼兰路969号
宝山区,bs_27,121.411309,31.41818,上海市宝山区月罗路288号
宝山区,bs_28,121.485743,31.4053,上海市宝山区团结路6号
宝山区,bs_29,121.495651,31.389231,上海市宝山区永清路390号
宝山区,bs_30,121.479468,31.340683,上海市宝山区淞发路901弄6号楼107
宝山区,bs_31,121.45209,31.33993,上海市宝山区呼玛路448号泗塘菜场内16-15
宝山区,bs_32,121.402902,31.349866,上海市宝山区泰和西路3493弄
宝山区,bs_33,121.410724,31.289122,上海市宝山区真华路1799弄
宝山区,bs_34,121.384708,31.320483,上海市宝山区锦秋路809弄102号
宝山区,bs_35,121.446942,31.338733,上海市宝山区呼玛路456号
宝山区,bs_36,121.457877,31.280132,上海市宝山区一二八纪念路968号